"","baffle_prop","density","bush_density","df.prop_males","tactic","mean_success","sd","ci"
"218",0.25,0.01,0,0.5,"caller",0.0370063229652618,0.021985264059442,0.00430911175565064
"219",0.25,0.05,0,0.5,"caller",0.0964495404330086,0.0584024505400435,0.0114468803058485
"220",0.25,0.1,0,0.5,"caller",0.137345150348642,0.0874366993396018,0.017137593070562
"221",0.25,0.25,0,0.5,"caller",0.188123064068515,0.146097909640645,0.0286351902895663
"222",0.25,0.5,0,0.5,"caller",0.235937317285681,0.221371494009485,0.043388812825859
"223",0.25,0.75,0,0.5,"caller",0.285686217460933,0.275780425800912,0.0540529634569788
"224",0.25,1,0,0.5,"caller",0.315607586563616,0.303678372695113,0.0595209610482421
"225",0.29,0.01,0,0.5,"caller",0.0376015337242282,0.0250242635053149,0.00490475564704171
"226",0.29,0.05,0,0.5,"caller",0.0963757259847877,0.0605837493702344,0.0118744148765659
"227",0.29,0.1,0,0.5,"caller",0.129070010449321,0.0884457455482262,0.0173353661274523
"228",0.29,0.25,0,0.5,"caller",0.175378271487935,0.153139895017361,0.0300154194234028
"229",0.29,0.5,0,0.5,"caller",0.225596051557606,0.210839477366685,0.0413245375638703
"230",0.29,0.75,0,0.5,"caller",0.263551446466171,0.26392895534782,0.0517300752481726
"231",0.29,1,0,0.5,"caller",0.301200956755087,0.33222003327359,0.0651151265216237
"232",0.33,0.01,0,0.5,"caller",0.037822280410842,0.0196942509096774,0.00386007317829677
"233",0.33,0.05,0,0.5,"caller",0.0913390599434776,0.0637983481005422,0.0125044762277063
"234",0.33,0.1,0,0.5,"caller",0.112107839021592,0.0816409279933711,0.0160016218867007
"235",0.33,0.25,0,0.5,"caller",0.169316044666471,0.151317345930546,0.0296581998023869
"236",0.33,0.5,0,0.5,"caller",0.205741130737947,0.206821510416418,0.0405370160416179
"237",0.33,0.75,0,0.5,"caller",0.257461273666093,0.277717704308295,0.0544326700444258
"238",0.33,1,0,0.5,"caller",0.274929124162154,0.295116634865173,0.057842860433574
"239",0.37,0.01,0,0.5,"caller",0.0379957805907173,0.0255077205539198,0.00499951322856828
"240",0.37,0.05,0,0.5,"caller",0.085990106939474,0.05727719255671,0.0112263297411152
"241",0.37,0.1,0,0.5,"caller",0.11256016856783,0.0835143571477352,0.0163688140009561
"242",0.37,0.25,0,0.5,"caller",0.164626006904488,0.147281901067347,0.0288672526092001
"243",0.37,0.5,0,0.5,"caller",0.198242567448097,0.189880299578914,0.0372165387174672
"244",0.37,0.75,0,0.5,"caller",0.241561624029978,0.247162377445335,0.0484438259792856
"245",0.37,1,0,0.5,"caller",0.273083361606013,0.288705087907118,0.0565861972297952
"246",0.41,0.01,0,0.5,"caller",0.0324864247809453,0.0210669011159612,0.0041291126187284
"247",0.41,0.05,0,0.5,"caller",0.0784910127182943,0.0537396897160911,0.0105329791843539
"248",0.41,0.1,0,0.5,"caller",0.101198115924143,0.0766400183578593,0.0150214435981404
"249",0.41,0.25,0,0.5,"caller",0.147194753116999,0.13984717627348,0.0274100465496021
"250",0.41,0.5,0,0.5,"caller",0.182217768849305,0.187873648577192,0.0368232351211297
"251",0.41,0.75,0,0.5,"caller",0.230141202846682,0.239783169307335,0.0469975011842377
"252",0.41,1,0,0.5,"caller",0.243034832777983,0.259764004533191,0.0509137448885054
"253",0.45,0.01,0,0.5,"caller",0.031937403773969,0.02113508370956,0.00414247640707376
"254",0.45,0.05,0,0.5,"caller",0.0744352724866715,0.0556470632712777,0.0109068244011704
"255",0.45,0.1,0,0.5,"caller",0.0998028718301078,0.0873621225079832,0.0171229760115647
"256",0.45,0.25,0,0.5,"caller",0.131916599865124,0.133736691394975,0.026212391513415
"257",0.45,0.5,0,0.5,"caller",0.184254685651029,0.196586546701709,0.038530963153535
"258",0.45,0.75,0,0.5,"caller",0.214551475359774,0.224769586502743,0.0440548389545376
"259",0.45,1,0,0.5,"caller",0.236440750213129,0.251369872144419,0.0492684949403062
"260",0.49,0.01,0,0.5,"caller",0.0363104117352035,0.0231175824346323,0.00453104615718793
"261",0.49,0.05,0,0.5,"caller",0.0782614087301587,0.0610855845035566,0.0119727745626971
"262",0.49,0.1,0,0.5,"caller",0.0944649257552483,0.0842619853641192,0.0165153491313674
"263",0.49,0.25,0,0.5,"caller",0.131276321684588,0.125267297628538,0.0245523903351934
"264",0.49,0.5,0,0.5,"caller",0.174857830901178,0.181461991454811,0.035566550325143
"265",0.49,0.75,0,0.5,"caller",0.206131592421915,0.222231503859333,0.0435573747564292
"266",0.49,1,0,0.5,"caller",0.219304915514593,0.25297060018071,0.0495822376354191
"267",0.53,0.01,0,0.5,"caller",0.0337989479836353,0.0251703676023856,0.00493339205006757
"268",0.53,0.05,0,0.5,"caller",0.0758336665743845,0.0571246717521795,0.0111964356634272
"269",0.53,0.1,0,0.5,"caller",0.0999240210403273,0.0870234290049239,0.0170565920849651
"270",0.53,0.25,0,0.5,"caller",0.128886923621151,0.12922479497324,0.0253280598147551
"271",0.53,0.5,0,0.5,"caller",0.174436002337814,0.18811494563587,0.0368705293446305
"272",0.53,0.75,0,0.5,"caller",0.198175069467942,0.222748488657924,0.0436587037769531
"273",0.53,1,0,0.5,"caller",0.210419449778743,0.229076692471779,0.0448990317244687
"274",0.57,0.01,0,0.5,"caller",0.0278410740203193,0.0218437677758233,0.00428137848406136
"275",0.57,0.05,0,0.5,"caller",0.0740115841530936,0.0626699441899831,0.0122833090612367
"276",0.57,0.1,0,0.5,"caller",0.0920444283180132,0.0861325626135473,0.0168819822722553
"277",0.57,0.25,0,0.5,"caller",0.130423990754179,0.138158342116091,0.0270790350547539
"278",0.57,0.5,0,0.5,"caller",0.157714884696017,0.161252100218852,0.0316054116428949
"279",0.57,0.75,0,0.5,"caller",0.185479508365191,0.193921408202879,0.0380085960077643
"280",0.57,1,0,0.5,"caller",0.211365908724399,0.242666801083976,0.0475626930124594
"281",0.61,0.01,0,0.5,"caller",0.0253571428571428,0.0217758562256553,0.00426806782022845
"282",0.61,0.05,0,0.5,"caller",0.0710928679982632,0.0590197633057003,0.0115678736079173
"283",0.61,0.1,0,0.5,"caller",0.0911272434505717,0.0973417449861282,0.0190789820172811
"284",0.61,0.25,0,0.5,"caller",0.121998299319728,0.129313814325028,0.0253455076077055
"285",0.61,0.5,0,0.5,"caller",0.159343971631206,0.164925657089994,0.0323254287896388
"286",0.61,0.75,0,0.5,"caller",0.182336716601534,0.214715898290233,0.0420843160648858
"287",0.61,1,0,0.5,"caller",0.203242014196983,0.252606498753944,0.0495108737557729
"288",0.65,0.01,0,0.5,"caller",0.027136313299104,0.0260930783213011,0.00511424335097502
"289",0.65,0.05,0,0.5,"caller",0.0630992650760093,0.0584618360385302,0.0114585198635519
"290",0.65,0.1,0,0.5,"caller",0.0886116983791403,0.0805774730059104,0.0157931847091584
"291",0.65,0.25,0,0.5,"caller",0.116560203362529,0.139451034174828,0.0273324026982663
"292",0.65,0.5,0,0.5,"caller",0.141775898520085,0.154171432000765,0.03021760067215
"293",0.65,0.75,0,0.5,"caller",0.175091509454811,0.193779087472765,0.0379807011446619
"294",0.65,1,0,0.5,"caller",0.204735729386892,0.25012948621255,0.0490253792976598
"295",0.69,0.01,0,0.5,"caller",0.0382653706337917,0.0375129935950597,0.0073525467446317
"296",0.69,0.05,0,0.5,"caller",0.0645803698435277,0.0632791915389128,0.0124027215416269
"297",0.69,0.1,0,0.5,"caller",0.0861664295874822,0.087130822742791,0.017077641257587
"298",0.69,0.25,0,0.5,"caller",0.112674253200569,0.140087198561557,0.0274570909180652
