"baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
0.45,0.75,0,0.5,"caller",0.250799987507244,0.215428718447751,0.0422240288157592
0.45,0.75,0,0.5,"silent",0.0865108792853741,0.0483988469898199,0.00948617401000471
0.45,1,0,0.5,"baffler",0.632589285714286,0.531813562987702,0.10423545834559
0.45,1,0,0.5,"caller",0.281763847005382,0.235599827845294,0.0461775662576776
0.45,1,0,0.5,"silent",0.111766453795235,0.0444583100597847,0.00871382877171781
0.49,0.01,0,0.5,"baffler",0.0820491803278688,0.0317456582445696,0.00622214901593565
0.49,0.01,0,0.5,"caller",0.0303299411162314,0.0260651560828113,0.00510877059223101
0.49,0.01,0,0.5,"silent",0.00202403846153846,0.0065069718114023,0.00127536647503485
0.49,0.05,0,0.5,"baffler",0.192540983606557,0.100107948706465,0.0196211579464672
0.49,0.05,0,0.5,"caller",0.071453373015873,0.0570909089034489,0.011189818145076
0.49,0.05,0,0.5,"silent",0.00811538461538462,0.0116163600062838,0.00227680656123162
0.49,0.1,0,0.5,"baffler",0.261967213114754,0.180286165374479,0.035336088413398
0.49,0.1,0,0.5,"caller",0.099840985232891,0.0822064080575573,0.0161124559792812
0.49,0.1,0,0.5,"silent",0.0126250728438228,0.0137810262648686,0.00270108114791424
0.49,0.25,0,0.5,"baffler",0.374344262295082,0.291085461767329,0.0570527505063966
0.49,0.25,0,0.5,"caller",0.144419642857143,0.115730709620794,0.0226832190856756
0.49,0.25,0,0.5,"silent",0.0310576923076923,0.0242629860226593,0.00475554526044122
0.49,0.5,0,0.5,"baffler",0.462459016393443,0.361030341816162,0.0707619469959677
0.49,0.5,0,0.5,"caller",0.197436315924219,0.169974333657585,0.0333149693968866
0.49,0.5,0,0.5,"silent",0.0532023601398601,0.0318272396788904,0.00623813897706252
0.49,0.75,0,0.5,"baffler",0.553934426229508,0.465126490903185,0.0911647922170244
0.49,0.75,0,0.5,"caller",0.231109350998464,0.197263135343173,0.038663574527262
0.49,0.75,0,0.5,"silent",0.0858294726107226,0.0519500533108689,0.0101822104489303
0.49,1,0,0.5,"baffler",0.619426229508197,0.51867742170254,0.101660774653698
